top-lunch-score,top-prefecture,top-telephone,shop-transportation,shop-addresses,top-overall-score,features-first-reviewer,features-the-homepage,shop-categories,seats-mobile-phone,top-subcategory-two,seats-non-smoking-smoking,shop-budget,top-category,features-remarks,menu-dishes,seats-parking-lot,shop-restaurant-name,menu-drink,shop-operating-hours,features-location,url,shop-cards,features-occasion,top-name,top-night-score,top-budget-lunch,top-comments,seats-number-of-seats,seats-private-use,top-budget-night,menu-all-you-can-drink,top-nearest-station,seats-space-facilities,menu-course,shop-shop-holidays,top-subcategory-one,shop-tel-reservation,seats-private-dining-rooms
-,Saga,"
                  050-5869-7167
                  (+81-50-5869-7167)                ",●国道294号線、市役所南信号を佐賀銀行別館方面へ。一つ目の角を過ぎてすぐ。●佐賀市役所南交差点、ドラッグストアモリの近く。 424 meters from Saga.,12-3 Aikeicho Saga Saga 佐賀県 佐賀市 愛敬町 12-3 Show larger map,3.06,ドリミキ,,"Izakaya (Tavern), Yakitori (Grilled chicken), Teppanyaki",docomo、au、SoftBank、Y!mobile,Teppanyaki,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",no (最寄りのコインパーキングをご利用ください。),Hikiyama (曳山),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","【月、水、木】18：00～24：00(L.O 23:30)【金、土、祝前日】18：00～翌1：00(L.O 24:30)【日曜、祝日】18：00～23：00(L.O 22:30) Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41003401/,Available (VISA、MASTER、JCB、AMEX、Diners),"Date,Alone,With friends/co-workers This occasion is recommended by many people.",Hikiyama,3.06,,2,47 Seats (4名テーブル×2、5名テーブル×3、カウンター17席),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Tatami seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",火曜日,Yakitori (Grilled chicken),050-5869-7167 (+81-50-5869-7167) (For reservation only) 0952-28-1503 (+81-952-28-1503) (For inquiry) 予約可,yes For 20-30 people、Over 30 people
-,Saga,"
                  050-5590-1579
                  (+81-50-5590-1579)                ",◉和多田駅から徒歩6分 （600ｍ）◉唐津駅から車で10分 （2.5ｋｍ ）◉浜崎駅から車で15分 （6.8ｋｍ） 485 meters from Watada.,4-50 Watada Honmura Karatsu Saga 佐賀県 唐津市 和多田本村 4-50 Show larger map,-,,,"Izakaya (Tavern), Yakitori (Grilled chicken), Seafood",docomo、au、SoftBank、Y!mobile,Seafood,Smoking establishment,"Dinner: ￥2,000～￥2,999",Izakaya (Tavern),うまか屋グループでは”パート”、”アルバイト”を募集しております。土日のみ働ける方も大歓迎♪【詳細】●時給 800円 （試用期間1か月は750円）●高卒以上18歳～40歳まで●長期勤務できる方歓迎！●専門学生・大学生歓迎！社会人もかけもちも大歓迎！●初心者もわかりやすく指導いたします◎業務内容 ホール・調理補助◎日数 週3日～4日程度（ローテーション制）◎勤務時間 17：00～24：00の間（3時間～6時間）●委細面談、ご希望の店舗へお問い合わせ下さい[うまか屋 源喜] 担当：たしろ 唐津市和多田本村4-500955-74-6664[うまか屋 祭太鼓 山本店] 担当：やまさき唐津市山本1399-10955-78-1821[うまか屋 祭太鼓 浜玉店] 担当：いしざき唐津市浜玉町横田下350955-56-6389,,yes (20台),Umakayagenki (うまか屋源喜),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","◉17：30～24：00（L.O 23：00） Late night (After 10 PM), Open on sundays",,https://tabelog.com/en/saga/A4102/A410201/41003105/,Not Available,Banquets/party This occasion is recommended by many people.,Umakayagenki,-,,0,71 Seats (・カウンター席 ・掘りごたつ席 ・座敷席),Not Available,"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (up to ¥3,000)","
                  Watada
                ","Comfortable space,Wide seat,Counter,Tatami seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",第1、第3 水曜日,Yakitori (Grilled chicken),050-5590-1579 (+81-50-5590-1579) (For reservation only) 0955-74-6664 (+81-955-74-6664) (For inquiry) 予約可,yes For 20-30 people、Over 30 people (仕切り席になります。 団体様30名以上であれば個室としてご利用頂けます。)
3.41,Saga,"
                  050-5590-8341
                  (+81-50-5590-8341)                ",◉唐津駅より車で２６分◉福岡市内から車で約１時間３０分,552-2 Yobukocho Tononoura Karatsu Saga 佐賀県 唐津市 呼子町殿ノ浦 552-2 Show larger map,3.41,agare,http://www.yu-netkita.com/kaisyu/,"Seafood, Kaiseki (Traditional Japanese)",docomo、au、SoftBank、Y!mobile,,Non-smoking establishment,"Dinner: ￥3,000～￥3,999 Lunch: ￥2,000～￥2,999",Seafood,5月2～5日、8月13日～15日は予約不可,Particular about fish,yes (店舗の敷地に駐車ください),genkaiikafunedokorokaishuu (玄海いか舟処 海舟 本店),"Japanese sake (Nihonshu),Japanese spirits (Shochu)","◉11:00～18:00※混雑が予想されます。ご予約は前日までにお願い致します。*★*ローカルプレイス*★*http://www.localplace.jp/t100118775/ Lunch, Open on sundays",Ocean view,https://tabelog.com/en/saga/A4102/A410201/41000029/,Available (JCB、AMEX、VISA、MASTER),"With family/kids ,Banquets/party,With friends/co-workers This occasion is recommended by many people.",genkaiikafunedokorokaishuu,3.00,"￥2,000～￥2,999",30,370 Seats,Available (For 20-50 people、Over 50 people),"￥3,000～￥3,999",,"
                    Karatsu, Yobuko
                ","Comfortable space,Wide seat,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",無休,Kaiseki (Traditional Japanese),050-5590-8341 (+81-50-5590-8341) (For reservation only) 0955-82-5977 (+81-955-82-5977) (For inquiry) 予約可,no
3.05,Saga,"
                  050-5589-5427
                  (+81-50-5589-5427)                ","佐賀市営バス「佐大西」停留所から徒歩2分 2,255 meters from Saga.",1241-27 Honjomachi Oaza Honjo Saga Saga 佐賀県 佐賀市 本庄町本庄 1241-27 Show larger map,3.06,*つばめ*,http://www.localplace.jp/t100074174/,"Okonomiyaki, Chow Mein Noodle, Izakaya (Tavern)",docomo、au、SoftBank,Izakaya (Tavern),Smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ～￥999",Okonomiyaki,,,yes (12台収容可能),Yunion (ユニオン),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines","[火～土] 11:00～15:00(OS14:30)、18:00～23:00(OS22:00)[日・祝] 11:00～23:00(OS22:00) Lunch, Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41001820/,Not Available,"With family/kids ,Date,Alone,With friends/co-workers This occasion is recommended by many people.",Yunion,3.05, ～￥999,3,46 Seats (カウンター6席 個室掘り炬燵6名席×6),Available (For 20-50 people),"￥1,000～￥1,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ",,"Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",月曜日（月曜祝日の場合翌火曜日が定休日）,Chow Mein Noodle,050-5589-5427 (+81-50-5589-5427) (For reservation only) 0952-22-3083 (+81-952-22-3083) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people、Over 30 people (個室掘り炬燵席6名×6部屋 最大40名収容 貸切は30名～。要相談)
3.06,Saga,"
                  050-5571-3190
                  (+81-50-5571-3190)                ",JR鳥栖駅より徒歩3分フレスポ向いにございます！ 125 meters from Tosu.,790-1 Kyomachi Tosu Saga 佐賀県 鳥栖市 京町 790-1 緒方ビル 1F Show larger map,3.05,フィガロイ,http://www.localplace.jp/t100056565/,"Izakaya (Tavern), Seafood, Tempura",,Tempura,Smoking establishment,"Dinner: ￥4,000～￥4,999 Lunch: ￥1,000～￥1,999 The amount of money spent by actual store visitors.",Izakaya (Tavern),,Particular about fish,no (近隣にコインパーキングあり),Uohei (魚平),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Cocktails","【ランチ】11：30～14：00(L.O)【夜】17：00～21：30(L.O) Lunch, Open on sundays",,https://tabelog.com/en/saga/A4101/A410103/41004617/,Available,"With family/kids ,Banquets/party,With friends/co-workers This occasion is recommended by many people.",Uohei,-,"￥1,000～￥1,999",4,90 Seats,Available (Over 50 people),"￥4,000～￥4,999","All-you-can-drink (¥4,000 - ¥5,000)","
                  Tosu
                ","Comfortable space,Wide seat,Tatami seats,Horigotatsu seats","Course (¥3,000 - ¥4,000)",無休,Seafood,050-5571-3190 (+81-50-5571-3190) (For reservation only) 0942-85-2230 (+81-942-85-2230) (For inquiry) 予約可,yes Over 30 people (最大60名まで収容可能な大広間を完備！)
-,Saga,"
                  050-5589-0269
                  (+81-50-5589-0269)                ",JR鳥栖駅より徒歩7分 455 meters from Tosu.,1-1027 Higashimachi Tosu Saga 佐賀県 鳥栖市 東町 1-1027 Show larger map,3.00,枝豆みどり,http://tosu-urara.jp,"Izakaya (Tavern), Italian, Seafood",SoftBank、docomo、au、Y!mobile,Seafood,Sectionalized smoking (ランチのみ禁煙),"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",yes (当店裏（東町樫の木駐車場）5台【11～15】／鳥栖補聴器横駐車場（軽自動車専用）2台【1～2】／上野不動産横駐車場6台【6～11】),Urara (うらら),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about wines","【昼の部】11:30～14:00 【夜の部】18:00～23:00(OS22:00)※日曜のみ18:00～22:00(21:00) Lunch, Open on sundays",,https://tabelog.com/en/saga/A4101/A410103/41000139/,Not Available,"With family/kids ,Date,With friends/co-workers This occasion is recommended by many people.",Urara,3.00,"￥1,000～￥1,999",3,48 Seats (カウンター・小上がり座敷・テーブル席・個室・お座敷個室及び宴会用広間(30名)),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink (¥4,000 - ¥5,000)","
                  Tosu
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Tatami seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",毎週月曜日,Italian,050-5589-0269 (+81-50-5589-0269) (For reservation only) 0942-82-2424 (+81-942-82-2424) (For inquiry) 予約可 ご予約は火曜日～日曜日の10：00～22：00にて承ります。※月曜日は店休日となります。,yes For 20-30 people
3.02,Saga,"
                  050-5590-8342
                  (+81-50-5590-8342)                ",JR鳥栖駅から徒歩30分、車で5分 699 meters from Shin Tosu.,4-120 Kuranoue Tosu Saga 佐賀県 鳥栖市 蔵上 4-120 Show larger map,3.02,asami,http://www.roan-tosu.com/,"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot)",docomo、au、SoftBank,,Smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ￥1,000～￥1,999 The amount of money spent by actual store visitors.",Izakaya (Tavern),※貸切は60名様からご利用頂けます,Particular about vegetable,yes (お店の前にございます),Shokunokuraroan (爐庵),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",17：00～22：00(料理LO22：00 ドリンクLO22：00)※最終入店は22時となっております*★*ローカルプレイス*★*http://www.localplace.jp/t100118994/ Open on sundays,"Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41000429/,Not Available,"With family/kids ,Banquets/party,With friends/co-workers This occasion is recommended by many people.",Shokunokuraroan,-,"￥1,000～￥1,999",9,150 Seats (カウンター、テーブル、掘りごたつ、個室完備),Available (Over 50 people),"￥1,000～￥1,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Shin Tosu
                ","Stylish space,Wide seat,Counter,Tatami seats,Horigotatsu seats","All-you-can-eat,Course (up to ¥3,000)",不定休,Motsu Nabe (Offel Hot Pot),050-5590-8342 (+81-50-5590-8342) (For reservation only) 0942-81-4949 (+81-942-81-4949) (For inquiry) 予約可 人数変更やキャンセルは原則前日までとなっております.当日のご連絡で５名様以上のキャンセルに関しましてはキャンセル料が発生致しますのでご連絡は前日までにお願い致します。,yes For 6 people、For 8 people、For 10-20 people (完全個室・・6名様用・8名様用・10名様用 )
-,Saga,"
                  050-5868-5260
                  (+81-50-5868-5260)                ",JR鳥栖駅 徒歩8分 485 meters from Tosu.,721-1 Taishomachi Tosu Saga 佐賀県 鳥栖市 大正町 721-1 Show larger map,3.06,ドリミキ,http://hitosara.com/0006017446/,"Italian, French, Pasta",docomo、au、SoftBank,Pasta,Sectionalized smoking,"Dinner: ￥3,000～￥3,999",Italian,,"Particular about vegetable,Particular about fish",yes (４台分),Dainingutoride (Dining Toride 鳥栖店),"Japanese spirits (Shochu),Wines,Cocktails,Particular about wines,Particular about cocktails","17:30～00:00 (L.O.23:30)年末年始はお休みをいただきます。 Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410103/41004764/,Available (VISA、MASTER、JCB、AMEX、Diners),"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Dainingutoride,3.06,,6,150 Seats,Available (Over 50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Tosu
                ","Stylish space,Comfortable space,Wide seat","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",無休,French,050-5868-5260 (+81-50-5868-5260) (For reservation only) 0942-81-4333 (+81-942-81-4333) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people、Over 30 people (1F：テーブル席、個室2名～50名 2F：最大100名)
-,Saga,"
                  050-5872-9405
                  (+81-50-5872-9405)                ",JR佐賀駅から徒歩10分 746 meters from Saga.,2丁目5-1 Tojin Saga Saga 佐賀県 佐賀市 唐人 2丁目5-1 Show larger map,3.02,林神龍,,"Dining bar, Seafood, Motsu Nabe (Offel Hot Pot)",docomo、au、SoftBank、Y!mobile,Motsu Nabe (Offel Hot Pot),Smoking establishment,"Dinner: ￥3,000～￥3,999",Dining bar,※コースはご予算により、料理内容を変更することができます。,"Particular about vegetable,Particular about fish",no (お近くのコインパーキングをご利用下さい。),Mutou (むとう),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","『火曜～土曜』 18:00～0:00 (L.O. 23:30)『日曜』18:00～23:00 (L.O. 23:00) Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41000149/,Available (JCB、AMEX、VISA、MASTER、Diners),"Date,With friends/co-workers This occasion is recommended by many people.",Mutou,3.02,,1,32 Seats (カウンター席・ソファー席・掘りごたつ席がございます。),Available (For 20-50 people),"￥3,000～￥3,999",All-you-can-drink,"
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Counter,Horigotatsu seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",月定休,Seafood,050-5872-9405 (+81-50-5872-9405) (For reservation only) 0952-25-8139 (+81-952-25-8139) (For inquiry) 予約可,yes For 6 people、For 8 people、For 10-20 people (掘りごたつの個室は16名まで収容可能です。 ※可動式になっておりますので、6～20名様ほど収容可能です。)
-,Saga,"
                  0955-75-5750
                  (+81-955-75-5750)                ",JR筑紫線・唐津駅より徒歩5分唐津バスセンターより徒歩5分 437 meters from Karatsu.,1961-2 Kiwatamachi Karatsu Saga 佐賀県 唐津市 木綿町 1961-2 Show larger map,3.05,skull angel,http://www.localplace.jp/t100208171/,"Izakaya (Tavern), Seafood, Yakitori (Grilled chicken)",docomo、au、SoftBank、Y!mobile,Yakitori (Grilled chicken),Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),★パーティールームあります★当店は40名様～MAX60名までご利用可能なパーティールームもございます。結婚式の二次会や歓送迎会・忘年会・新年会などの団体様に最適。またカラオケもついておりますので、お食事をしながら楽しい時間を過ごしていただけます♪人数・予算・内容に関してご相談下さい★,Particular about fish,yes (近隣にコインパーキングあり),Izakayafuurinkazan (いざかや 風林火山),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","18：00～翌3:00【姉妹店：いざかやかんすけ】http://tabelog.com/saga/A4102/A410201/41000722/ Late night (After 10 PM),Late night (After midnight), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4102/A410201/41002593/,Available,"With family/kids ,Date,With friends/co-workers This occasion is recommended by many people.",Izakayafuurinkazan,3.05,,1,50 Seats,Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Karatsu
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats",,年中無休,Seafood,0955-75-5750 (+81-955-75-5750) 予約可 予約の際は、食べログを見たと一言伝えて頂けると幸いです。,yes
-,Saga,"
                  050-5570-4191
                  (+81-50-5570-4191)                ",鳥栖駅より徒歩5分 159 meters from Tosu.,792-26 Kyomachi Tosu Saga 佐賀県 鳥栖市 京町 792-26 Show larger map,-,,http://www.localplace.jp/t100052034/,"Izakaya (Tavern), Italian, Seafood",docomo、au、SoftBank、Y!mobile,Seafood,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",no (近隣のコインパーキングをご利用ください。),BOBAL (ぼばる),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","17:30～24:00 Late night (After 10 PM), Open on sundays","Beautiful scenery,Beautiful night view,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41005280/,Not Available,Banquets/party This occasion is recommended by many people.,BOBAL,-,,0,80 Seats,Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Tosu
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",不定休,Italian,050-5570-4191 (+81-50-5570-4191) (For reservation only) 0942-83-8066 (+81-942-83-8066) (For inquiry) 予約可,yes For 8 people、For 10-20 people、For 20-30 people、Over 30 people
-,Saga,"
                  050-5592-7003
                  (+81-50-5592-7003)                ","★【運輸支局】交差点ローソーンより徒歩1分★市営バス/西鉄バス【館橋（やかたばし）】バス停より徒歩3分★マックスバリュー前、市営バス【北陵高校前】バス停より徒歩8分★佐賀駅より車で6分 2,034 meters from Saga.",Takakisenishi Saga Saga 佐賀県 佐賀市 高木瀬西 2-10-1 Show larger map,-,pgpgmg@,http://www.localplace.jp/t100164885/,"Yakiniku (BBQ Beef), Okinawan Cuisine, Horumon (BBQ Offel)",docomo、au、SoftBank、Y!mobile,Horumon (BBQ Offel),Smoking establishment,"Dinner: ￥5,000～￥5,999 The amount of money spent by actual store visitors.",Yakiniku (BBQ Beef),★貸切30名様～最大40名まで,,yes (お店の前に8台分御座います。),Okinawayakinikuganjuu (沖縄焼肉がんじゅう),"Japanese spirits (Shochu),Wines,Cocktails","～ランチ～【日曜日 祝日】11：30-15：00～夜～17：00-24：00 Lunch,Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41005933/,Available (VISA、MASTER、JCB、AMEX、Diners),Banquets/party This occasion is recommended by many people.,Okinawayakinikuganjuu,-,,1,58 Seats (座敷 ４名×9席、８名×２席、カウンター２人掛け×3席),Available (For 20-50 people),"￥5,000～￥5,999",All-you-can-drink,"
                  Saga
                ","Comfortable space,Wide seat,Counter,Tatami seats","Course (¥3,000 - ¥4,000)",木曜日,Okinawan Cuisine,050-5592-7003 (+81-50-5592-7003) (For reservation only) 0952-33-0029 (+81-952-33-0029) (For inquiry) 予約可,no
-,Saga,"
                  050-5872-2028
                  (+81-50-5872-2028)                ",連絡バス（佐賀空港-佐賀）佐賀駅 徒歩2分 210 meters from Saga.,1-5-21 Ekimae Chuo Saga Saga 佐賀県 佐賀市 駅前中央 1-5-21 1F Show larger map,3.00,＊ユウ＊,http://zawatami-sagaminamiguchiekimae.com/,"Izakaya (Tavern), Seafood, Dining bar",,Dining bar,Sectionalized smoking,"Dinner: ￥2,000～￥2,999",Izakaya (Tavern),,Particular about fish,no,Zawatami (坐・和民 佐賀南口駅前店),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","17:00～03:00 Late night (After 10 PM),Late night (After midnight), Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41000431/,Available (JCB、AMEX、VISA、MASTER、Diners),"With family/kids ,Banquets/party,With friends/co-workers This occasion is recommended by many people.",Zawatami,3.00,,4,115 Seats,Not Available,"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Tatami seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",毎週火曜日は定休日※定休日が祝休日、祝前日の場合は営業させていただき、祝休日の翌日を休業いたします。,Seafood,050-5872-2028 (+81-50-5872-2028) (For reservation only) 0952-27-1507 (+81-952-27-1507) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people (人数に応じてご用意いたします。お問合せください。 )
-,Saga,"
                  050-5593-4071
                  (+81-50-5593-4071)                ",JR[佐賀駅]より徒歩10分 952 meters from Saga.,Otakara Saga Saga 佐賀県 佐賀市 大財 1-5-3 Show larger map,-,,http://www.localplace.jp/t100303715/,"Izakaya (Tavern), Seafood, Robatayaki",docomo、au、SoftBank、Y!mobile,Robatayaki,Smoking establishment,,Izakaya (Tavern),,,no (近隣に有料コインパーキングがございます),Iroriizakayatomo (囲炉裏居酒屋 朋),,"18:00～翌3:00 Late night (After 10 PM),Late night (After midnight)",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41006048/,Not Available,,Iroriizakayatomo,-,,0,20 Seats (カウンター4席、座敷テーブル4名×4),Available (Up to 20 people),,All-you-can-drink,"
                  Saga
                ","Counter,Tatami seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",月曜日（祝日の場合営業、翌火曜日休み）,Seafood,050-5593-4071 (+81-50-5593-4071) (For reservation only) 0952-37-1205 (+81-952-37-1205) (For inquiry) 予約可,no
-,Saga,"
                  050-5593-3172
                  (+81-50-5593-3172)                ",●JR唐津駅より徒歩5分●唐津バスセンターより徒歩5分 268 meters from Karatsu.,Nakamachi Karatsu Saga 佐賀県 唐津市 中町 1872-1 1F Show larger map,-,,http://www.localplace.jp/t100208189/,"Izakaya (Tavern), Seafood, Japanese food (other)",docomo、au、SoftBank、Y!mobile,Japanese food (other),Smoking establishment,"Dinner: ￥4,000～￥4,999",Izakaya (Tavern),,,no (近隣にコインパーキングあります。),Rin (凛),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",17:30～24：00（LO23：30） Late night (After 10 PM),,https://tabelog.com/en/saga/A4102/A410201/41005963/,Available (VISA、MASTER、JCB、AMEX、Diners),,Rin,-,,0,21 Seats (カウンター×4、個室６人×1、個室5人×2 貸し切り21様まで),Available (Up to 20 people、For 20-50 people),"￥4,000～￥4,999","All-you-can-drink (¥4,000 - ¥5,000)","
                  Karatsu
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats,Horigotatsu seats","Course (¥3,000 - ¥4,000)",日曜日,Seafood,050-5593-3172 (+81-50-5593-3172) (For reservation only) 0955-72-6338 (+81-955-72-6338) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people (※個室MAX17名 ※貸し切り17名様～MAX21名)
3.04,Saga,"
                  050-5890-6958
                  (+81-50-5890-6958)                ","1,124 meters from Saga.",2-7-1 Shirayama Saga Saga 佐賀県 佐賀市 白山 2-7-1 エスプラッツ １F Show larger map,3.09,ガーボン,http://kingkitchensaga.wordpress.com/,"Italian, Dining bar, Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Smoking establishment (ただし、ランチタイムは禁煙です。14：00～は喫煙可),"Dinner: ￥2,000～￥2,999 Lunch: ～￥999",Italian,,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",no (永池駐車場無料券あり),King Kitchen (イタリア酒場 キングキッチン),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","11:30～15:00(L.O.14:30)18:00～24:00(L.O.23:00)ローカルプレイス⇒http://www.localplace.jp/t100063066/ Lunch,Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41003353/,Available (VISA、JCB、AMEX、MASTER),"Date,Banquets/party,With friends/co-workers This occasion is recommended by many people.",King Kitchen,3.09, ～￥999,8,60 Seats (個室2部屋、ソファー、テーブル席、カウンター席),Available (For 20-50 people、Over 50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Sofa seats","Course (¥3,000 - ¥4,000)",不定休,Dining bar,050-5890-6958 (+81-50-5890-6958) (For reservation only) 0952-27-0510 (+81-952-27-0510) (For inquiry) 予約可,yes For 4 people、For 6 people、For 8 people、For 10-20 people
